ID,exercise_name,muscle_group,equipment,intensity_level,description,condition,demo_video
204,High Pull,Traps,Bodyweight,Low,Sample traps exercise with bodyweight,high_blood_pressure,https://www.youtube.com/watch?v=ycn2C66wT54
205,Bench Press,Chest,Machine,Moderate,Sample chest exercise with machine,high_blood_pressure,https://www.youtube.com/watch?v=rT7DgCr-3pg
206,Pull-Up,Back,Dumbbells,Low,Sample back exercise with dumbbells,high_blood_pressure,https://www.youtube.com/watch?v=eGo4IYlbE5g
207,Lunges,Legs,Cable,Moderate,Sample legs exercise with cable,high_blood_pressure,https://www.youtube.com/watch?v=QOVaHwm-Q6U
208,Front Raise,Shoulders,Barbell,Low,Sample shoulders exercise with barbell,high_blood_pressure,https://www.youtube.com/watch?v=-t7fuZ0KhDA
209,Tricep Pushdown,Arms,Bands,Moderate,Sample arms exercise with bands,high_blood_pressure,https://www.youtube.com/watch?v=2-LAMcpzODU
210,Side Plank,Core,Bodyweight,Low,Sample core exercise with bodyweight,high_blood_pressure,https://www.youtube.com/watch?v=K2VljzCC16g
211,45-Degree Back Extension,Glutes,Machine,Moderate,Sample glutes exercise with machine,high_blood_pressure,https://www.youtube.com/watch?v=ph3pddpKzzw
212,Cable Upright Row,Traps,Dumbbells,Low,Sample traps exercise with dumbbells,high_blood_pressure,https://www.youtube.com/watch?v=QXZvUnPsQ9E
213,Chest Fly,Chest,Cable,Moderate,Sample chest exercise with cable,high_blood_pressure,https://www.youtube.com/watch?v=eozdVDA78K0
214,T-Bar Row,Back,Barbell,Low,Sample back exercise with barbell,high_blood_pressure,https://www.youtube.com/watch?v=8b8aKhN5C3c
215,Leg Press,Legs,Bands,Moderate,Sample legs exercise with bands,high_blood_pressure,https://www.youtube.com/watch?v=IZxyjW7MPJQ
216,Upright Row,Shoulders,Bodyweight,Low,Sample shoulders exercise with bodyweight,high_blood_pressure,https://www.youtube.com/watch?v=Z5R41AK0C0g
217,Preacher Curl,Arms,Machine,Moderate,Sample arms exercise with machine,high_blood_pressure,https://www.youtube.com/watch?v=fIWP-FRFNU0
218,V-Up,Core,Dumbbells,Low,Sample core exercise with dumbbells,high_blood_pressure,https://www.youtube.com/watch?v=iP2fjvG0g3w
219,Kettlebell Swing,Glutes,Cable,Moderate,Sample glutes exercise with cable,high_blood_pressure,https://www.youtube.com/watch?v=YSxHifyI1S4
220,Trap Bar Shrug,Traps,Barbell,Low,Sample traps exercise with barbell,high_blood_pressure,https://www.youtube.com/watch?v=YkPYSf8Lu3U
221,Push-Up,Chest,Bands,Moderate,Sample chest exercise with bands,high_blood_pressure,https://www.youtube.com/watch?v=_l3ySVKYVJ8
222,Barbell Row,Back,Bodyweight,Low,Sample back exercise with bodyweight,high_blood_pressure,https://www.youtube.com/watch?v=vT2GjY_Umpw
223,Leg Press,Legs,Machine,Moderate,Sample legs exercise with machine,high_blood_pressure,https://www.youtube.com/watch?v=IZxyjW7MPJQ
224,Face Pull,Shoulders,Dumbbells,Low,Sample shoulders exercise with dumbbells,high_blood_pressure,https://www.youtube.com/watch?v=rep-qVOkqgk
225,Bicep Curl,Arms,Cable,Moderate,Sample arms exercise with cable,high_blood_pressure,https://www.youtube.com/watch?v=ykJmrZ5v0Oo
226,Mountain Climber,Core,Barbell,Low,Sample core exercise with barbell,high_blood_pressure,https://www.youtube.com/watch?v=nmwgirgXLYM
227,Single-Leg RDL,Glutes,Bands,Moderate,Sample glutes exercise with bands,high_blood_pressure,https://www.youtube.com/watch?v=E5FYUBo_5co
228,Snatch Grip Deadlift,Traps,Bodyweight,Low,Sample traps exercise with bodyweight,high_blood_pressure,https://www.youtube.com/watch?v=6t9-6X1-9mY
229,Push-Up,Chest,Machine,Moderate,Sample chest exercise with machine,high_blood_pressure,https://www.youtube.com/watch?v=_l3ySVKYVJ8
230,Deadlift,Back,Dumbbells,Low,Sample back exercise with dumbbells,high_blood_pressure,https://www.youtube.com/watch?v=op9kVnSso6Q
231,Leg Press,Legs,Cable,Moderate,Sample legs exercise with cable,high_blood_pressure,https://www.youtube.com/watch?v=IZxyjW7MPJQ
232,Lateral Raise,Shoulders,Barbell,Low,Sample shoulders exercise with barbell,high_blood_pressure,https://www.youtube.com/watch?v=kDqklk1ZESo
233,Overhead Tricep Extension,Arms,Bands,Moderate,Sample arms exercise with bands,high_blood_pressure,https://www.youtube.com/watch?v=nRiJVZDpdL0
234,Plank,Core,Bodyweight,Low,Sample core exercise with bodyweight,high_blood_pressure,https://www.youtube.com/watch?v=pSHjTRCQxIw
235,Barbell Hip Thrust,Glutes,Machine,Moderate,Sample glutes exercise with machine,high_blood_pressure,https://www.youtube.com/watch?v=LM8XHLYJoYs
236,Barbell Shrug,Traps,Dumbbells,Low,Sample traps exercise with dumbbells,high_blood_pressure,https://www.youtube.com/watch?v=7-7Ln9N1M0k
237,Push-Up,Chest,Cable,Moderate,Sample chest exercise with cable,high_blood_pressure,https://www.youtube.com/watch?v=_l3ySVKYVJ8
238,T-Bar Row,Back,Barbell,Low,Sample back exercise with barbell,high_blood_pressure,https://www.youtube.com/watch?v=8b8aKhN5C3c
239,Lunges,Legs,Bands,Moderate,Sample legs exercise with bands,high_blood_pressure,https://www.youtube.com/watch?v=QOVaHwm-Q6U
240,Arnold Press,Shoulders,Bodyweight,Low,Sample shoulders exercise with bodyweight,high_blood_pressure,https://www.youtube.com/watch?v=vj2w851ZHRM
241,Push-Up,Chest,Machine,Moderate,Sample chest exercise with machine,anemia,https://www.youtube.com/watch?v=_l3ySVKYVJ8
242,T-Bar Row,Back,Dumbbells,Low,Sample back exercise with dumbbells,anemia,https://www.youtube.com/watch?v=8b8aKhN5C3c
243,Calf Raise,Legs,Cable,Moderate,Sample legs exercise with cable,anemia,https://www.youtube.com/watch?v=YMmgqO8Jo-k
244,Front Raise,Shoulders,Barbell,Low,Sample shoulders exercise with barbell,anemia,https://www.youtube.com/watch?v=-t7fuZ0KhDA
245,Skull Crusher,Arms,Bands,Moderate,Sample arms exercise with bands,anemia,https://www.youtube.com/watch?v=d_KZxkY_0cM
246,Hanging Leg Raise,Core,Bodyweight,Low,Sample core exercise with bodyweight,anemia,https://www.youtube.com/watch?v=HDgq3x0B0GQ
247,Glute Bridge,Glutes,Machine,Moderate,Sample glutes exercise with machine,anemia,https://www.youtube.com/watch?v=8bbE64NuDTU
248,Dumbbell Shrug,Traps,Dumbbells,Low,Sample traps exercise with dumbbells,anemia,https://www.youtube.com/watch?v=1v7S_7DnkPk
249,Cable Crossover,Chest,Cable,Moderate,Sample chest exercise with cable,anemia,https://www.youtube.com/watch?v=taI4XduLpTk
250,Pull-Up,Back,Barbell,Low,Sample back exercise with barbell,anemia,https://www.youtube.com/watch?v=eGo4IYlbE5g
251,Lunges,Legs,Bands,Moderate,Sample legs exercise with bands,anemia,https://www.youtube.com/watch?v=QOVaHwm-Q6U
252,Overhead Press,Shoulders,Bodyweight,Low,Sample shoulders exercise with bodyweight,anemia,https://www.youtube.com/watch?v=qEwKCR5JCog
253,Hammer Curl,Arms,Machine,Moderate,Sample arms exercise with machine,anemia,https://www.youtube.com/watch?v=zC3nLlEvin4
254,Cable Crunch,Core,Dumbbells,Low,Sample core exercise with dumbbells,anemia,https://www.youtube.com/watch?v=G4XH7a0fH0M
255,Cable Pull-Through,Glutes,Cable,Moderate,Sample glutes exercise with cable,anemia,https://www.youtube.com/watch?v=F4Kc5gHhA6Y
256,Face Pull (Traps),Traps,Barbell,Low,Sample traps exercise with barbell,anemia,https://www.youtube.com/watch?v=rep-qVOkqgk
257,Push-Up,Chest,Bands,Moderate,Sample chest exercise with bands,anemia,https://www.youtube.com/watch?v=_l3ySVKYVJ8
258,Lat Pulldown,Back,Bodyweight,Low,Sample back exercise with bodyweight,anemia,https://www.youtube.com/watch?v=CAwf7n6Luuc
259,Leg Extension,Legs,Machine,Moderate,Sample legs exercise with machine,anemia,https://www.youtube.com/watch?v=yRxs4lFxiJw
260,Arnold Press,Shoulders,Dumbbells,Low,Sample shoulders exercise with dumbbells,anemia,https://www.youtube.com/watch?v=vj2w851ZHRM
261,Overhead Tricep Extension,Arms,Cable,Moderate,Sample arms exercise with cable,anemia,https://www.youtube.com/watch?v=nRiJVZDpdL0
262,Russian Twist,Core,Barbell,Low,Sample core exercise with barbell,anemia,https://www.youtube.com/watch?v=wkD8rjkodUI
263,Step-Up,Glutes,Bands,Moderate,Sample glutes exercise with bands,anemia,https://www.youtube.com/watch?v=dQqApCGd5Ss
264,Behind-the-Back Shrug,Traps,Bodyweight,Low,Sample traps exercise with bodyweight,anemia,https://www.youtube.com/watch?v=H7XQLba9BH4
265,Incline Dumbbell Press,Chest,Machine,Moderate,Sample chest exercise with machine,anemia,https://www.youtube.com/watch?v=8iPEnn-ltC8
266,Deadlift,Back,Dumbbells,Low,Sample back exercise with dumbbells,anemia,https://www.youtube.com/watch?v=op9kVnSso6Q
267,Leg Extension,Legs,Cable,Moderate,Sample legs exercise with cable,anemia,https://www.youtube.com/watch?v=yRxs4lFxiJw
268,Front Raise,Shoulders,Barbell,Low,Sample shoulders exercise with barbell,anemia,https://www.youtube.com/watch?v=-t7fuZ0KhDA
269,Hammer Curl,Arms,Bands,Moderate,Sample arms exercise with bands,anemia,https://www.youtube.com/watch?v=zC3nLlEvin4
270,Bicycle Crunch,Core,Bodyweight,Low,Sample core exercise with bodyweight,anemia,https://www.youtube.com/watch?v=9FGilxCbdz8
271,Reverse Lunge,Glutes,Machine,Moderate,Sample glutes exercise with machine,anemia,https://www.youtube.com/watch?v=QOVaHwm-Q6U
272,Farmer's Walk,Traps,Dumbbells,Low,Sample traps exercise with dumbbells,anemia,https://www.youtube.com/watch?v=QJ7pMoDZX8o
273,Incline Dumbbell Press,Chest,Cable,Moderate,Sample chest exercise with cable,anemia,https://www.youtube.com/watch?v=8iPEnn-ltC8
274,T-Bar Row,Back,Barbell,Low,Sample back exercise with barbell,anemia,https://www.youtube.com/watch?v=8b8aKhN5C3c
275,Romanian Deadlift,Legs,Bands,Moderate,Sample legs exercise with bands,anemia,https://www.youtube.com/watch?v=DJpHADyP-Ko
276,Face Pull,Shoulders,Bodyweight,Low,Sample shoulders exercise with bodyweight,anemia,https://www.youtube.com/watch?v=rep-qVOkqgk
277,Preacher Curl,Arms,Machine,Moderate,Sample arms exercise with machine,anemia,https://www.youtube.com/watch?v=fIWP-FRFNU0
278,Ab Wheel Rollout,Core,Dumbbells,Low,Sample core exercise with dumbbells,anemia,https://www.youtube.com/watch?v=v66p-vBrRLQ
279,Frog Pump,Glutes,Cable,Moderate,Sample glutes exercise with cable,anemia,https://www.youtube.com/watch?v=hqCFRwj67N8
280,Rack Pull,Traps,Barbell,Low,Sample traps exercise with barbell,anemia,https://www.youtube.com/watch?v=8iPEnn-ltC8&t=1s
281,Incline Dumbbell Press,Chest,Bands,Moderate,Sample chest exercise with bands,anemia,https://www.youtube.com/watch?v=8iPEnn-ltC8
282,Deadlift,Back,Bodyweight,Low,Sample back exercise with bodyweight,anemia,https://www.youtube.com/watch?v=op9kVnSso6Q
283,Leg Press,Legs,Machine,Moderate,Sample legs exercise with machine,anemia,https://www.youtube.com/watch?v=IZxyjW7MPJQ
284,Front Raise,Shoulders,Dumbbells,Low,Sample shoulders exercise with dumbbells,anemia,https://www.youtube.com/watch?v=-t7fuZ0KhDA
285,Hammer Curl,Arms,Cable,Moderate,Sample arms exercise with cable,anemia,https://www.youtube.com/watch?v=zC3nLlEvin4
286,Dead Bug,Core,Barbell,Low,Sample core exercise with barbell,anemia,https://www.youtube.com/watch?v=4botcJcQKNA
287,Sumo Deadlift,Glutes,Bands,Moderate,Sample glutes exercise with bands,anemia,https://www.youtube.com/watch?v=5zAkYWoR_4c
288,High Pull,Traps,Bodyweight,Low,Sample traps exercise with bodyweight,anemia,https://www.youtube.com/watch?v=ycn2C66wT54
289,Incline Dumbbell Press,Chest,Machine,Moderate,Sample chest exercise with machine,anemia,https://www.youtube.com/watch?v=8iPEnn-ltC8
290,Single-Arm Dumbbell Row,Back,Dumbbells,Low,Sample back exercise with dumbbells,anemia,https://www.youtube.com/watch?v=pYcpY20QaE8
291,Squat,Legs,Cable,Moderate,Sample legs exercise with cable,anemia,https://www.youtube.com/watch?v=YaXPRqUwItQ
292,Arnold Press,Shoulders,Barbell,Low,Sample shoulders exercise with barbell,anemia,https://www.youtube.com/watch?v=vj2w851ZHRM
293,Preacher Curl,Arms,Bands,Moderate,Sample arms exercise with bands,anemia,https://www.youtube.com/watch?v=fIWP-FRFNU0
294,Side Plank,Core,Bodyweight,Low,Sample core exercise with bodyweight,anemia,https://www.youtube.com/watch?v=K2VljzCC16g
295,45-Degree Back Extension,Glutes,Machine,Moderate,Sample glutes exercise with machine,anemia,https://www.youtube.com/watch?v=ph3pddpKzzw
296,Cable Upright Row,Traps,Dumbbells,Low,Sample traps exercise with dumbbells,anemia,https://www.youtube.com/watch?v=QXZvUnPsQ9E
297,Decline Barbell Press,Chest,Cable,Moderate,Sample chest exercise with cable,anemia,https://www.youtube.com/watch?v=QYJ3y7n1d6Q
298,Barbell Row,Back,Barbell,Low,Sample back exercise with barbell,anemia,https://www.youtube.com/watch?v=vT2GjY_Umpw
299,Squat,Legs,Bands,Moderate,Sample legs exercise with bands,anemia,https://www.youtube.com/watch?v=YaXPRqUwItQ
300,Front Raise,Shoulders,Bodyweight,Low,Sample shoulders exercise with bodyweight,anemia,https://www.youtube.com/watch?v=-t7fuZ0KhDA
